run_id,embedding_type,embedding_dim,lr,batch_size,hidden_dim,epochs,accuracy,save_dir
1,sentence_transformers,300,0.001,32,128,50,0.7668,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd128_20251003_162538
2,sentence_transformers,300,0.001,32,128,50,0.7674,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd128_20251003_162709
3,sentence_transformers,300,0.001,32,128,50,0.7674,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd128_20251003_162834
4,sentence_transformers,300,0.001,32,256,50,0.7708,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd256_20251003_163006
5,sentence_transformers,300,0.001,32,256,50,0.7743,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd256_20251003_163134
6,sentence_transformers,300,0.001,32,256,50,0.7688,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.001hd256_20251003_163306
7,sentence_transformers,300,0.001,64,128,50,0.7653,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd128_20251003_163440
8,sentence_transformers,300,0.001,64,128,50,0.7688,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd128_20251003_163606
9,sentence_transformers,300,0.001,64,128,50,0.7700,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd128_20251003_163729
10,sentence_transformers,300,0.001,64,256,50,0.7723,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd256_20251003_163853
11,sentence_transformers,300,0.001,64,256,50,0.7665,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd256_20251003_164017
12,sentence_transformers,300,0.001,64,256,50,0.7633,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.001hd256_20251003_164135
13,sentence_transformers,300,0.0005,32,128,50,0.7676,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd128_20251003_164303
14,sentence_transformers,300,0.0005,32,128,50,0.7630,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd128_20251003_164455
15,sentence_transformers,300,0.0005,32,128,50,0.7662,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd128_20251003_164638
16,sentence_transformers,300,0.0005,32,256,50,0.7705,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd256_20251003_164829
17,sentence_transformers,300,0.0005,32,256,50,0.7714,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd256_20251003_165010
18,sentence_transformers,300,0.0005,32,256,50,0.7723,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.0005hd256_20251003_165201
19,sentence_transformers,300,0.0005,64,128,50,0.7650,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd128_20251003_165351
20,sentence_transformers,300,0.0005,64,128,50,0.7644,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd128_20251003_165520
21,sentence_transformers,300,0.0005,64,128,50,0.7668,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd128_20251003_165657
22,sentence_transformers,300,0.0005,64,256,50,0.7694,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd256_20251003_165845
23,sentence_transformers,300,0.0005,64,256,50,0.7708,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd256_20251003_170021
24,sentence_transformers,300,0.0005,64,256,50,0.7691,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.0005hd256_20251003_170203
25,sentence_transformers,300,0.002,32,128,50,0.7703,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd128_20251003_170331
26,sentence_transformers,300,0.002,32,128,50,0.7647,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd128_20251003_170455
27,sentence_transformers,300,0.002,32,128,50,0.7543,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd128_20251003_170617
28,sentence_transformers,300,0.002,32,256,50,0.7671,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd256_20251003_170742
29,sentence_transformers,300,0.002,32,256,50,0.7647,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd256_20251003_170902
30,sentence_transformers,300,0.002,32,256,50,0.7720,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs32lr0.002hd256_20251003_171025
31,sentence_transformers,300,0.002,64,128,50,0.7668,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd128_20251003_171147
32,sentence_transformers,300,0.002,64,128,50,0.7679,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd128_20251003_171307
33,sentence_transformers,300,0.002,64,128,50,0.7659,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd128_20251003_171427
34,sentence_transformers,300,0.002,64,256,50,0.7679,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd256_20251003_171550
35,sentence_transformers,300,0.002,64,256,50,0.7766,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd256_20251003_171704
36,sentence_transformers,300,0.002,64,256,50,0.7653,C:\Users\the3s\VSC\Book-Genre-Classifier\results\transformer_all-MiniLM-L6-v2_e50bs64lr0.002hd256_20251003_171821
